problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 23.0; 69.0; 0.6666666666657005; 48; 31; 29; 0; 132; solution limit exceeded; 0.0013129711151123047; True;  
ID000_M003_J004; minla_fav; 3; 4; True; 23.0; 56.0; 0.5892857142846619; 248; 67; 12; 0; 772; solution limit exceeded; 0.002966165542602539; True;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.00036716461181640625; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.49264400299227; nan; 248; 67; 42; 71; 772; optimal; 0.0009000301361083984; False;  
ID000_M003_J005; manne; 3; 5; True; 23.0; 69.0; 0.6666666666657005; 75; 46; 45; 0; 210; solution limit exceeded; 0.0017020702362060547; True;  
ID000_M003_J005; minla_fav; 3; 5; True; 23.0; 70.0; 0.6714285714276123; 490; 136; 15; 0; 1595; solution limit exceeded; 0.0028619766235351562; True;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003800392150878906; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 30.015134057524428; nan; 490; 136; 94; 249; 1595; optimal; 0.0025920867919921875; False;  
ID000_M015_J015; manne; 15; 15; True; 963.0; 9634.999999999998; 0.9000518941359533; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.016870975494384766; True;  
ID000_M015_J015; minla_fav; 15; 15; True; 963.0; 9543.0; 0.8990883370009337; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.1292130947113037; True;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.01896810531616211; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 1143.483389630917; nan; 71535; 22276; 6877; 51207; 254670; optimal; 8.69465184211731; False;  
ID001_M015_J015; manne; 15; 15; True; 942.0; 9106.999999999998; 0.8965630833424739; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015475034713745117; True;  
ID001_M015_J015; minla_fav; 15; 15; True; 942.0; 9519.0; 0.901040025212723; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11703920364379883; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.017826080322265625; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 1118.990718755717; nan; 71535; 22276; 8891; 57928; 254670; optimal; 9.602355003356934; False;  
ID002_M015_J015; manne; 15; 15; True; 921.0; 8570.999999999998; 0.8925446272313511; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015223979949951172; True;  
ID002_M015_J015; minla_fav; 15; 15; True; 921.0; 9780.0; 0.9058282208588865; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11733794212341309; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.021038055419921875; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 1105.5259578427942; nan; 71535; 22276; 7501; 54343; 254670; optimal; 10.515716075897217; False;  
ID003_M015_J015; manne; 15; 15; True; 911.0; 8244.999999999998; 0.889508793207994; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015482902526855469; True;  
ID003_M015_J015; minla_fav; 15; 15; True; 911.0; 8630.0; 0.894438006952481; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11618399620056152; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.01849198341369629; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 1071.005524223843; nan; 71535; 22276; 9086; 57208; 254670; optimal; 10.53101897239685; False;  
ID004_M015_J015; manne; 15; 15; True; 940.0; 8380.0; 0.8878281622911589; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.01559901237487793; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 940.0; 9350.0; 0.8994652406417016; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.1151430606842041; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.018707990646362305; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 1150.5056050850126; nan; 71535; 22276; 8878; 43570; 254670; optimal; 5.871901988983154; False;  
ID005_M015_J015; manne; 15; 15; True; 849.0; 9521.0; 0.9108286944648576; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.01648998260498047; True;  
ID005_M015_J015; minla_fav; 15; 15; True; 849.0; 9494.0; 0.9105751000631882; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11719202995300293; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02063298225402832; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 1105.4358619992756; nan; 71535; 22276; 8704; 68162; 254670; optimal; 13.368133068084717; False;  
ID006_M015_J015; manne; 15; 15; True; 935.0; 9525.999999999998; 0.9018475750577273; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015531063079833984; True;  
ID006_M015_J015; minla_fav; 15; 15; True; 935.0; 8957.0; 0.895612370213231; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11596298217773438; True;  
ID006_M015_J015; manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.02101302146911621; False;  
ID006_M015_J015; minla_fav; 15; 15; False; nan; 1176.0959773865566; nan; 71535; 22276; 8305; 59571; 254670; optimal; 14.536947011947632; False;  
ID007_M015_J015; manne; 15; 15; True; 963.0; 9125.999999999998; 0.8944773175542308; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.01556706428527832; True;  
ID007_M015_J015; minla_fav; 15; 15; True; 963.0; 8870.0; 0.8914317925591783; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11169695854187012; True;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.017086029052734375; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 1164.0453739589298; nan; 71535; 22276; 9402; 44413; 254670; optimal; 6.180134057998657; False;  
ID008_M015_J015; manne; 15; 15; True; 982.0; 9016.999999999998; 0.8910945990905967; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.01479482650756836; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 982.0; 10102.0; 0.9027915264304008; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.1127471923828125; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.021032094955444336; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1169.1992352387272; nan; 71535; 22276; 7604; 35477; 254670; optimal; 5.8459532260894775; False;  
ID009_M015_J015; manne; 15; 15; True; 896.0; 9175.999999999998; 0.9023539668700861; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.01603388786315918; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 896.0; 8943.0; 0.8998099071899709; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11945390701293945; True;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.020904064178466797; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 1128.8752248836597; nan; 71535; 22276; 7401; 38078; 254670; optimal; 7.146070957183838; False;  
ID000_M015_J020; manne; 15; 20; True; 949.0; 10937.999999999998; 0.913238251965616; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02626204490661621; True;  
ID000_M015_J020; minla_fav; 15; 20; True; 949.0; 11121.0; 0.9146659473068887; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.3063240051269531; True;  
ID000_M015_J020; manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.037516117095947266; False;  
ID000_M015_J020; minla_fav; 15; 20; False; nan; 1091.8284279265722; nan; 171880; 54451; 23224; 307827; 617060; optimal; 265.15500688552856; False;  
ID001_M015_J020; manne; 15; 20; True; 1012.0; 12702.0; 0.92032750747913; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.025749921798706055; True;  
ID001_M015_J020; minla_fav; 15; 20; True; 1012.0; 12872.0; 0.9213797389682962; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.29360198974609375; True;  
ID001_M015_J020; manne; 15; 20; False; nan; 1012.0; nan; 6000; 3151; 1913; 1912; 17700; optimal; 0.038797855377197266; False;  
ID001_M015_J020; minla_fav; 15; 20; False; nan; 1201.7201219093038; nan; 171880; 54451; 23292; 288853; 617060; optimal; 169.5817461013794; False;  
ID002_M015_J020; manne; 15; 20; True; 919.0; 11400.999999999998; 0.9193930356986149; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.026514053344726562; True;  
ID002_M015_J020; minla_fav; 15; 20; True; 919.0; 11600.0; 0.9207758620689576; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.28658413887023926; True;  
ID002_M015_J020; manne; 15; 20; False; nan; 919.0; nan; 6000; 3151; 1906; 1905; 17700; optimal; 0.03916788101196289; False;  
ID002_M015_J020; minla_fav; 15; 20; False; nan; 1146.955938498666; nan; 171880; 54451; 20877; 163263; 617060; optimal; 56.217918157577515; False;  
ID003_M015_J020; manne; 15; 20; True; 990.0; 11755.0; 0.9157805189281079; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02700018882751465; True;  
ID003_M015_J020; minla_fav; 15; 20; True; 990.0; 11735.0; 0.9156369833830343; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.3087728023529053; True;  
ID003_M015_J020; manne; 15; 20; False; nan; 990.0; nan; 6000; 3151; 1976; 1975; 17700; optimal; 0.037972211837768555; False;  
ID003_M015_J020; minla_fav; 15; 20; False; nan; 1106.1966586232018; nan; 171880; 54451; 22695; 222965; 617060; optimal; 168.42298889160156; False;  
ID004_M015_J020; manne; 15; 20; True; 880.0; 11176.999999999998; 0.921266887357959; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02596592903137207; True;  
ID004_M015_J020; minla_fav; 15; 20; True; 880.0; 11372.0; 0.9226169539219053; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.30420899391174316; True;  
ID004_M015_J020; manne; 15; 20; False; nan; 880.0; nan; 6000; 3151; 1824; 1823; 17700; optimal; 0.03461098670959473; False;  
ID004_M015_J020; minla_fav; 15; 20; False; nan; 1162.0037750189283; nan; 171880; 54451; 20810; 163324; 617060; optimal; 73.16187500953674; False;  
ID005_M015_J020; manne; 15; 20; True; 932.0; 12308.999999999998; 0.9242830449264691; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.025832176208496094; True;  
ID005_M015_J020; minla_fav; 15; 20; True; 932.0; 12777.0; 0.9270564295217897; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.2936110496520996; True;  
ID005_M015_J020; manne; 15; 20; False; nan; 932.0; nan; 6000; 3151; 1938; 1937; 17700; optimal; 0.03912997245788574; False;  
ID005_M015_J020; minla_fav; 15; 20; False; nan; 1256.577011952773; nan; 171880; 54451; 22803; 183180; 617060; optimal; 68.63504409790039; False;  
ID006_M015_J020; manne; 15; 20; True; 979.0; 12783.999999999998; 0.9234198998748363; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02555394172668457; True;  
ID006_M015_J020; minla_fav; 15; 20; True; 979.0; 12242.0; 0.9200294069596396; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.30014896392822266; True;  
ID006_M015_J020; manne; 15; 20; False; nan; 979.0; nan; 6000; 3151; 1841; 1840; 17700; optimal; 0.03505516052246094; False;  
ID006_M015_J020; minla_fav; 15; 20; False; nan; 1268.9312347394407; nan; 171880; 54451; 21598; 199376; 617060; optimal; 73.17197608947754; False;  
ID007_M015_J020; manne; 15; 20; True; 900.0; 12250.0; 0.9265306122448904; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02606201171875; True;  
ID007_M015_J020; minla_fav; 15; 20; True; 900.0; 12220.0; 0.9263502454991741; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.2999279499053955; True;  
ID007_M015_J020; manne; 15; 20; False; nan; 900.0; nan; 6000; 3151; 2003; 2002; 17700; optimal; 0.03996109962463379; False;  
ID007_M015_J020; minla_fav; 15; 20; False; nan; 1161.7914675916145; nan; 171880; 54451; 26920; 245976; 617060; optimal; 165.33641982078552; False;  
ID008_M015_J020; manne; 15; 20; True; 920.0; 11989.999999999998; 0.9232693911592917; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02651691436767578; True;  
ID008_M015_J020; minla_fav; 15; 20; True; 920.0; 11976.0; 0.9231796927187632; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.28253698348999023; True;  
ID008_M015_J020; manne; 15; 20; False; nan; 920.0; nan; 6000; 3151; 1937; 1936; 17700; optimal; 0.03878617286682129; False;  
ID008_M015_J020; minla_fav; 15; 20; False; nan; 1146.4776210930884; nan; 171880; 54451; 20929; 248234; 617060; optimal; 180.4171929359436; False;  
ID009_M015_J020; manne; 15; 20; True; 928.0; 12784.999999999998; 0.9274149393820811; 6000; 3151; 3150; 0; 17700; solution limit exceeded; 0.02628016471862793; True;  
ID009_M015_J020; minla_fav; 15; 20; True; 928.0; 11989.0; 0.9225957127366676; 171880; 54451; 300; 0; 617060; solution limit exceeded; 0.2944941520690918; True;  
ID009_M015_J020; manne; 15; 20; False; nan; 928.0; nan; 6000; 3151; 1839; 1838; 17700; optimal; 0.03528714179992676; False;  
ID009_M015_J020; minla_fav; 15; 20; False; nan; 1148.8000939403917; nan; 171880; 54451; 25067; 220520; 617060; optimal; 85.83247089385986; False;  
ID000_M020_J020; manne; 20; 20; True; 1217.0; 15387.0; 0.9209072593747909; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.03595995903015137; True;  
ID000_M020_J020; minla_fav; 20; 20; True; 1217.0; 16108.0; 0.9244474795132795; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.4043910503387451; True;  
ID000_M020_J020; manne; 20; 20; False; nan; 1217.0; nan; 8000; 4201; 2182; 2181; 23600; optimal; 0.05403494834899902; False;  
ID000_M020_J020; minla_fav; 20; 20; False; nan; 1535.9753500452157; nan; 229180; 72601; 24879; 248495; 822760; optimal; 88.97878408432007; False;  
ID001_M020_J020; manne; 20; 20; True; 1223.0; 16800.999999999996; 0.9272067138860728; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.036025047302246094; True;  
ID001_M020_J020; minla_fav; 20; 20; True; 1223.0; 16970.0; 0.927931644077779; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.4081130027770996; True;  
ID001_M020_J020; manne; 20; 20; False; nan; 1223.0; nan; 8000; 4201; 2520; 2519; 23600; optimal; 0.06482195854187012; False;  
ID001_M020_J020; minla_fav; 20; 20; False; nan; 1472.065667951383; nan; 229180; 72601; 25035; 211607; 822760; optimal; 158.91192483901978; False;  
ID002_M020_J020; manne; 20; 20; True; 1164.0; 16328.999999999996; 0.9287157817380064; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.0354311466217041; True;  
ID002_M020_J020; minla_fav; 20; 20; True; 1164.0; 16483.0; 0.9293817872959964; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.40169787406921387; True;  
ID002_M020_J020; manne; 20; 20; False; nan; 1164.0; nan; 8000; 4201; 2459; 2458; 23600; optimal; 0.06106686592102051; False;  
ID002_M020_J020; minla_fav; 20; 20; False; nan; 1494.7417893213299; nan; 229180; 72601; 23531; 237873; 822760; optimal; 335.23939394950867; False;  
ID003_M020_J020; manne; 20; 20; True; 1151.0; 16396.999999999996; 0.9298042324815459; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.035639047622680664; True;  
ID003_M020_J020; minla_fav; 20; 20; True; 1151.0; 15509.0; 0.925785028048224; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.40175509452819824; True;  
ID003_M020_J020; manne; 20; 20; False; nan; 1151.0; nan; 8000; 4201; 2431; 2430; 23600; optimal; 0.0589599609375; False;  
ID003_M020_J020; minla_fav; 20; 20; False; nan; 1463.7705513644312; nan; 229180; 72601; 26893; 296170; 822760; optimal; 293.48765802383423; False;  
ID004_M020_J020; manne; 20; 20; True; 1170.0; 14009.999999999996; 0.9164882226980663; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.0363919734954834; True;  
ID004_M020_J020; minla_fav; 20; 20; True; 1170.0; 15405.0; 0.9240506329113864; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.397629976272583; True;  
ID004_M020_J020; manne; 20; 20; False; nan; 1170.0; nan; 8000; 4201; 2411; 2410; 23600; optimal; 0.06234002113342285; False;  
ID004_M020_J020; minla_fav; 20; 20; False; nan; 1475.8603236233569; nan; 229180; 72601; 20988; 189760; 822760; optimal; 67.8749680519104; False;  
ID005_M020_J020; manne; 20; 20; True; 1207.0; 16160.999999999996; 0.9253140275972964; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.03570413589477539; True;  
ID005_M020_J020; minla_fav; 20; 20; True; 1207.0; 16975.0; 0.9288954344624394; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.4009361267089844; True;  
ID005_M020_J020; manne; 20; 20; False; nan; 1207.0; nan; 8000; 4201; 2517; 2516; 23600; optimal; 0.0643148422241211; False;  
ID005_M020_J020; minla_fav; 20; 20; False; nan; 1549.1416025137578; nan; 229180; 72601; 23225; 233330; 822760; optimal; 117.9881420135498; False;  
ID006_M020_J020; manne; 20; 20; True; 1291.0; 17368.999999999996; 0.925672174563873; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.036804914474487305; True;  
ID006_M020_J020; minla_fav; 20; 20; True; 1291.0; 17682.0; 0.9269878972966807; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.38666605949401855; True;  
ID006_M020_J020; manne; 20; 20; False; nan; 1291.0; nan; 8000; 4201; 2417; 2416; 23600; optimal; 0.05810213088989258; False;  
ID006_M020_J020; minla_fav; 20; 20; False; nan; 1566.6045960368556; nan; 229180; 72601; 25157; 237565; 822760; optimal; 67.93231892585754; False;  
ID007_M020_J020; manne; 20; 20; True; 1221.0; 16327.999999999996; 0.9252204801567802; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.036599159240722656; True;  
ID007_M020_J020; minla_fav; 20; 20; True; 1221.0; 16018.0; 0.9237732550880202; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.39899110794067383; True;  
ID007_M020_J020; manne; 20; 20; False; nan; 1221.0; nan; 8000; 4201; 2428; 2427; 23600; optimal; 0.06034088134765625; False;  
ID007_M020_J020; minla_fav; 20; 20; False; nan; 1483.0338366808908; nan; 229180; 72601; 22481; 205667; 822760; optimal; 53.42670917510986; False;  
ID008_M020_J020; manne; 20; 20; True; 1227.0; 17555.999999999996; 0.9301093643198854; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.03632307052612305; True;  
ID008_M020_J020; minla_fav; 20; 20; True; 1227.0; 17293.0; 0.9290464349736834; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.40531396865844727; True;  
ID008_M020_J020; manne; 20; 20; False; nan; 1227.0; nan; 8000; 4201; 2432; 2431; 23600; optimal; 0.060814857482910156; False;  
ID008_M020_J020; minla_fav; 20; 20; False; nan; 1545.6051048511572; nan; 229180; 72601; 24121; 211335; 822760; optimal; 113.1547257900238; False;  
ID009_M020_J020; manne; 20; 20; True; 1212.0; 15625.999999999996; 0.9224369640342959; 8000; 4201; 4200; 0; 23600; solution limit exceeded; 0.03503298759460449; True;  
ID009_M020_J020; minla_fav; 20; 20; True; 1212.0; 16443.0; 0.9262908228425415; 229180; 72601; 400; 0; 822760; solution limit exceeded; 0.4014720916748047; True;  
ID009_M020_J020; manne; 20; 20; False; nan; 1212.0; nan; 8000; 4201; 2435; 2434; 23600; optimal; 0.05960679054260254; False;  
ID009_M020_J020; minla_fav; 20; 20; False; nan; 1536.6891686383904; nan; 229180; 72601; 17367; 163163; 822760; optimal; 65.63179993629456; False;  
ID000_M015_J030; manne; 15; 30; True; 990.0; 18133.0; 0.94540340815088; 13500; 6976; 6975; 0; 40050; solution limit exceeded; 0.06297898292541504; True;  
ID000_M015_J030; minla_fav; 15; 30; True; 990.0; 17791.0; 0.9443538867966897; 588570; 189676; 450; 0; 2129340; solution limit exceeded; 1.1605041027069092; True;  
ID000_M015_J030; manne; 15; 30; False; nan; 990.0; nan; 13500; 6976; 4044; 4043; 40050; optimal; 0.11536502838134766; False;  
ID000_M015_J030; minla_fav; 15; 30; False; nan; 1385.9087089408847; nan; 588570; 189676; 82561; 1089482; 2129340; optimal; 2830.5364129543304; False;  
ID001_M015_J030; manne; 15; 30; True; 972.0; 18104.0; 0.9463102076889034; 13500; 6976; 6975; 0; 40050; solution limit exceeded; 0.06284308433532715; True;  
ID001_M015_J030; minla_fav; 15; 30; True; 972.0; 18907.0; 0.9485904691384094; 588570; 189676; 450; 0; 2129340; solution limit exceeded; 1.0908279418945312; True;  
ID001_M015_J030; manne; 15; 30; False; nan; 972.0; nan; 13500; 6976; 4081; 4080; 40050; optimal; 0.1199028491973877; False;  
ID001_M015_J030; minla_fav; 15; 30; False; nan; 1445.3678808737582; nan; 588570; 189676; 73991; 800269; 2129340; optimal; 1313.576201915741; False;  
ID002_M015_J030; manne; 15; 30; True; 1056.0; 19076.0; 0.944642482700771; 13500; 6976; 6975; 0; 40050; solution limit exceeded; 0.06367301940917969; True;  
ID002_M015_J030; minla_fav; 15; 30; True; 1056.0; 18431.0; 0.9427052248928386; 588570; 189676; 450; 0; 2129340; solution limit exceeded; 1.096893072128296; True;  
ID002_M015_J030; manne; 15; 30; False; nan; 1056.0; nan; 13500; 6976; 4061; 4060; 40050; optimal; 0.1183769702911377; False;  
ID002_M015_J030; minla_fav; 15; 30; False; nan; 1512.5608344211773; nan; 588570; 189676; 69487; 908656; 2129340; optimal; 2139.2749440670013; False;  
